subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
682	61	35	0	33	0
682	41	35	0	30	0
682	180	25	0	24	0
682	152	35	0	33	1
682	44	30	0	27	0
682	81	35	0	31	1
682	159	35	0	25	0
682	110	35	0	34	0
682	7	30	0	14	0
682	48	25	0	17	0
682	136	25	0	22	0
682	22	35	0	26	0
682	45	30	0	28	0
682	43	35	0	13	0
682	9	30	0	22	0
682	5	25	0	19	0
682	106	30	0	18	0
682	15	30	0	26	0
682	14	25	0	16	0
682	58	25	0	13	0
682	2	25	0	19	0
682	87	30	0	29	0
682	11	25	0	12	0
682	98	25	0	18	0
682	6	35	0	14	0
682	119	35	0	16	0
682	12	35	0	12	0
682	8	30	0	25	0
682	113	30	0	28	1
682	3	30	0	23	0
682	4	30	0	15	0
682	145	25	0	23	0
682	126	30	0	20	0
682	25	35	0	10	0
682	76	25	0	21	0
682	168	35	0	17	0
682	1	25	0	20	0
682	30	25	0	21	0
682	170	30	0	29	1
682	47	35	0	34	0
682	16	30	0	15	0
682	37	25	0	13	0
682	111	30	0	27	1
682	160	35	0	34	1
682	112	25	0	24	0
682	173	25	0	24	1
682	109	30	0	11	0
682	130	30	0	29	0
682	99	35	0	10	0
682	35	35	0	11	0
682	158	25	0	20	0
