subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
428	152	35	0	33	1
428	168	35	0	17	0
428	160	35	0	34	1
428	48	25	0	17	1
428	30	25	0	21	0
428	126	30	0	20	0
428	130	30	0	29	1
428	180	25	0	24	1
428	61	35	0	33	1
428	37	25	0	13	0
428	5	25	0	19	0
428	7	30	0	14	0
428	159	35	0	25	1
428	47	35	0	34	0
428	25	35	0	10	0
428	106	30	0	18	0
428	110	35	0	34	1
428	14	25	0	16	0
428	44	30	0	27	1
428	109	30	0	11	0
428	113	30	0	28	0
428	173	25	0	24	1
428	87	30	0	29	0
428	12	35	0	12	0
428	3	30	0	23	0
428	16	30	0	15	0
428	2	25	0	19	0
428	1	25	0	20	0
428	76	25	0	21	0
428	119	35	0	16	0
428	6	35	0	14	0
428	22	35	0	26	0
428	136	25	0	22	0
428	43	35	0	13	0
428	98	25	0	18	1
428	15	30	0	26	0
428	145	25	0	23	1
428	158	25	0	20	0
428	4	30	0	15	0
428	41	35	0	30	1
428	35	35	0	11	0
428	8	30	0	25	0
428	58	25	0	13	0
428	170	30	0	29	0
428	99	35	0	10	0
428	45	30	0	28	1
428	112	25	0	24	1
428	81	35	0	31	0
428	111	30	0	27	0
428	9	30	0	22	0
428	11	25	0	12	0
