subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
701	87	30	0	29	0
701	37	25	0	13	0
701	3	30	0	23	0
701	48	25	0	17	0
701	170	30	0	29	0
701	145	25	0	23	1
701	130	30	0	29	0
701	4	30	0	15	0
701	173	25	0	24	1
701	180	25	0	24	1
701	106	30	0	18	1
701	44	30	0	27	1
701	12	35	0	12	0
701	76	25	0	21	1
701	6	35	0	14	0
701	61	35	0	33	0
701	58	25	0	13	0
701	110	35	0	34	0
701	41	35	0	30	0
701	109	30	0	11	0
701	1	25	0	20	1
701	16	30	0	15	1
701	22	35	0	26	1
701	112	25	0	24	1
701	160	35	0	34	0
701	8	30	0	25	0
701	2	25	0	19	0
701	14	25	0	16	0
701	119	35	0	16	1
701	7	30	0	14	0
701	152	35	0	33	1
701	30	25	0	21	1
701	113	30	0	28	1
701	5	25	0	19	0
701	136	25	0	22	1
701	45	30	0	28	1
701	168	35	0	17	0
701	98	25	0	18	0
701	25	35	0	10	0
701	158	25	0	20	0
701	43	35	0	13	0
701	111	30	0	27	0
701	15	30	0	26	0
701	81	35	0	31	1
701	47	35	0	34	0
701	99	35	0	10	0
701	11	25	0	12	0
701	126	30	0	20	1
701	35	35	0	11	0
701	9	30	0	22	0
701	159	35	0	25	1
